###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59561.535223  18.396  0.090   159   14 o  0   0.78 128.39658  19.74171  7518.88  8881.03 2.97 2.91  74.1 -0.447 19.39 20.96 01a59561o0733o
59565.420850  18.359  0.199   165   33 o  0   1.22 128.39658  19.74171  7412.62  8989.68 2.75 2.65 -64.2 -0.487 18.62 19.27 01a59565o0448o
59565.423167  18.604  0.250   131   33 o  0   1.14 128.39658  19.74171  7393.55  8947.69 2.75 2.61 -57.6 -0.498 18.65 19.29 01a59565o0453o
59565.428228  18.332  0.189   169   32 o  0   1.13 128.39658  19.74171  7454.86  9024.83 2.64 2.57 -64.5 -0.501 18.72 19.33 01a59565o0464o
59565.437485  18.285  0.156   176   28 o  0   1.36 128.39658  19.74171  7478.46  8908.40 2.71 2.60 -64.6 -0.488 18.76 19.38 01a59565o0484o
59573.472829  18.398  0.109   159   17 o  0   1.22 128.39658  19.74171  7281.79  5087.99 3.05 2.77 -56.7 -0.483 18.99 20.19 01a59573o0607o
59573.475608  18.506  0.124   144   18 o  0   1.18 128.39658  19.74171  7262.39  5048.67 2.93 2.66 -57.1 -0.493 19.04 20.19 01a59573o0613o
59573.494640  18.341  0.100   167   17 o  0   1.24 128.39658  19.74171  7329.98  5122.15 2.99 2.79 -59.2 -0.477 19.02 20.13 01a59573o0650o
59573.497431  18.467  0.115   149   17 o  0   1.22 128.39658  19.74171  7348.69  5004.51 2.98 2.75 -55.3 -0.477 19.05 20.13 01a59573o0656o
59587.487289  18.958  0.122    95   12 c  0   0.86 128.39658  19.74171  1526.25  7339.52 2.42 2.37 -37.0 -0.441 19.61 21.63 02a59587o0638c
59587.490124  18.999  0.128    91   12 c  0   1.18 128.39658  19.74171  1507.20  7303.09 2.34 2.29   0.3 -0.442 19.65 21.63 02a59587o0644c
59587.497317  19.009  0.111    90   10 c  0   1.26 128.39658  19.74171  1565.78  7383.36 2.31 2.25  -6.9 -0.444 19.65 21.63 02a59587o0658c
59587.508227  19.032  0.123    88   11 c  0   1.28 128.39658  19.74171  1587.75  7266.71 2.35 2.33  -4.0 -0.439 19.63 21.63 02a59587o0681c
59589.410348  18.489  0.127   146   19 o  0   0.93 128.39658  19.74171  9749.35  9359.75 3.22 3.04  60.6 -0.408 19.15 20.51 01a59589o0436o
59589.423110  18.592  0.171   133   23 o  0   0.99 128.39658  19.74171  9735.49  9317.66 3.21 3.02 -53.4 -0.447 18.63 20.15 01a59589o0462o
59589.425416  18.268  0.145   179   26 o  0   0.61 128.39658  19.74171  9796.30  9396.08 3.24 3.14 -67.9 -0.434 18.72 20.25 01a59589o0467o
59589.435612  18.631  0.135   128   17 o  0   0.91 128.39658  19.74171  9818.91  9277.13 3.58 3.08  41.9 -0.378 19.20 20.71 01a59589o0488o
